,Title,Wage min,Wage max,Currency,Link,Source
76,Младший научный сотрудник (моделирование),0,0,0,https://nn.hh.ru/vacancy/66229543?from=vacancy_search_list&query=junior+python,hh
77,Преподаватель в IT-школу (Дубай),120000,0,руб.,https://nn.hh.ru/vacancy/75960846?from=vacancy_search_list&query=junior+python,hh
78,Преподаватель в IT-школу (Дубай),120000,0,руб.,https://nn.hh.ru/vacancy/75960848?from=vacancy_search_list&query=junior+python,hh
79,Database developer,0,0,0,https://nn.hh.ru/vacancy/76934397?from=vacancy_search_list&query=junior+python,hh
80,Middle разработчик Python,0,0,0,https://nn.hh.ru/vacancy/75883895?from=vacancy_search_list&query=junior+python,hh
81,Младший научный сотрудник,75000,0,руб.,https://nn.hh.ru/vacancy/76636608?from=vacancy_search_list&query=junior+python,hh
82,Нагрузочный тестировщик / Performance QA,70000,300000,руб.,https://nn.hh.ru/vacancy/76831996?from=vacancy_search_list&query=junior+python,hh
83,Младший бизнес-аналитик,30000,45000,руб.,https://nn.hh.ru/vacancy/76855570?from=vacancy_search_list&query=junior+python,hh
84,Разработчик Oracle (PL/SQL) (Junior),0,0,0,https://nn.hh.ru/vacancy/72789737?from=vacancy_search_list&query=junior+python,hh
85,Младший аналитик контента (KION),100000,0,руб.,https://nn.hh.ru/vacancy/76412368?from=vacancy_search_list&query=junior+python,hh
86,Разработчик Oracle (PL/SQL) (Junior),0,0,0,https://nn.hh.ru/vacancy/72789724?from=vacancy_search_list&query=junior+python,hh
87,Senior Bi analyst,0,0,0,https://nn.hh.ru/vacancy/76938899?from=vacancy_search_list&query=junior+python,hh
88,Ведущий системный аналитик /Младший архитектор продукта,0,0,0,https://nn.hh.ru/vacancy/77129545?from=vacancy_search_list&query=junior+python,hh
89,Младший backend разработчик (java),0,0,0,https://nn.hh.ru/vacancy/76751576?from=vacancy_search_list&query=junior+python,hh
90,Программист C# / Разработчик Unity (Junior) (удаленная работа не рассматривается),40000,50000,руб.,https://nn.hh.ru/vacancy/67376194?from=vacancy_search_list&query=junior+python,hh
91,Младший аналитик информационной безопасности SOC,0,0,0,https://nn.hh.ru/vacancy/76542436?from=vacancy_search_list&query=junior+python,hh
92,Младший инженер по тестированию САПР КОМПАС-3D,40000,45000,руб.,https://nn.hh.ru/vacancy/76419598?from=vacancy_search_list&query=junior+python,hh
93,Младший инженер по тестированию САПР КОМПАС-3D,40000,45000,руб.,https://nn.hh.ru/vacancy/76419368?from=vacancy_search_list&query=junior+python,hh
94,Senior Data scientist,0,0,0,https://nn.hh.ru/vacancy/71958940?from=vacancy_search_list&query=junior+python,hh
